#{"t_start": 1701189706.7659142, "env_id": null}
r,l,t
-8.8,13,5.471283
-9.8,6,5.484174
0.0,1,5.490176
-9.5,6,5.513684
-9.8,5,5.534685
-9.5,8,5.550684
-7.7,7,5.579685
-7.0,13,5.630211
-8.0,17,5.697716
-9.8,5,5.718716
-8.0,12,5.765716
-6.0,19,5.837232
-9.8,8,5.854231
-8.7,8,5.886237
-9.6,7,5.900747
-8.7,7,5.914747
-8.7,10,5.934747
-9.5,6,5.948748
-9.5,8,5.964746
-9.6,7,5.979747
-8.8,10,5.999264
-9.8,11,6.021265
-9.8,4,6.030264
-9.5,9,6.049266
-9.8,13,6.073266
-9.8,5,6.085269
-8.7,6,6.097779
-8.8,15,6.12579
-8.0,10,6.144777
-9.8,5,6.155777
-7.8,8,6.188782
-7.8,10,6.22785
3.0,11,6.248856
-9.8,4,6.258849
-8.0,8,6.274771
-8.7,9,6.293771
-9.8,8,6.309282
-7.7,14,6.335844
-9.8,11,6.357846
-7.8,14,6.385851
-8.0,6,6.398912
-9.8,5,6.409459
-8.0,17,6.441722
-8.0,10,6.460891
-9.8,15,6.516824
-8.7,7,6.531825
-8.7,7,6.559826
-8.8,15,6.58883
-9.8,14,6.616704
-8.7,9,6.634704
-9.8,7,6.648704
-9.3,17,6.679704
-8.7,11,6.723222
-9.5,6,6.735222
-8.0,10,6.754222
-8.7,6,6.766221
-9.8,10,6.786228
-9.8,7,6.800736
-8.8,9,6.819739
-8.8,9,6.837739
-8.0,9,6.854741
-8.0,12,6.877737
-9.5,6,6.889741
-9.8,8,6.906251
-8.0,6,6.919251
-8.7,7,6.935251
-7.0,12,6.960251
-9.5,16,6.992256
-9.8,7,7.007768
-8.7,9,7.027771
-9.8,9,7.047767
-8.0,14,7.099885
-9.8,4,7.109883
-9.8,10,7.147884
-6.0,11,7.170882
-8.7,11,7.193889
-9.8,8,7.210398
-9.8,7,7.2264
-9.6,9,7.2464
-8.0,14,7.27535
-7.0,11,7.299431
-8.7,5,7.31102
-9.8,8,7.329034
-7.0,18,7.366034
-9.5,8,7.383039
-8.7,16,7.43871
-6.7,11,7.480483
-9.8,7,7.495996
-8.7,6,7.509556
-9.8,8,7.526556
-9.5,5,7.538556
-8.0,9,7.557556
-8.0,6,7.570557
-9.8,5,7.582561
-8.0,10,7.60307
-9.8,5,7.614069
-9.5,9,7.63407
-9.5,18,7.67007
-7.8,16,7.701796
-9.8,11,7.724795
-7.7,13,7.750795
-8.0,19,7.7888
-9.8,4,7.799308
-9.8,9,7.818309
-7.7,13,7.84531
-9.4,14,7.873309
-9.8,6,7.887322
-9.8,7,7.915825
-7.0,14,7.945824
-8.7,10,7.967827
-9.8,4,7.977825
-8.7,8,7.995332
-8.8,9,8.015341
-8.5,12,8.04034
-8.8,7,8.056341
-9.8,6,8.07034
-8.0,13,8.123388
-8.0,12,8.169389
-8.4,13,8.217911
-8.8,9,8.25191
-8.7,5,8.27248
-9.8,9,8.292484
-7.8,16,8.348757
-8.8,10,8.387333
-9.8,6,8.410848
-8.8,13,8.459757
-8.0,10,8.480945
-8.7,8,8.500453
-9.8,6,8.513017
-8.7,6,8.527431
-9.8,6,8.54043
-7.7,13,8.56843
-9.8,5,8.590977
-9.6,10,8.629485
-8.8,6,8.653485
-8.7,13,8.701002
-9.8,8,8.737003
-8.0,10,8.775002
-6.0,15,8.806514
-9.8,7,8.823521
-9.8,4,8.833516
-8.0,9,8.853516
-8.7,6,8.868515
-8.7,7,8.884517
-8.7,7,8.912727
-9.8,9,8.949737
-8.7,12,8.994745
-8.0,8,9.026222
-8.8,11,9.05922
-8.0,11,9.083223
-9.8,8,9.100732
-8.0,13,9.130731
-9.8,10,9.152734
-6.0,11,9.176733
-8.8,9,9.197252
-9.8,9,9.217251
-9.8,18,9.25525
-9.8,9,9.27525
-9.8,12,9.320558
-8.8,16,9.357115
-8.0,11,9.381114
-9.8,12,9.407632
-9.8,7,9.424638
-8.7,10,9.463715
3.0,13,9.512499
-7.8,12,9.55962
-8.7,8,9.578632
-8.0,8,9.597136
-7.8,13,9.625135
-5.0,14,9.655134
-8.0,9,9.675135
-8.5,11,9.699651
-8.8,6,9.72365
-9.5,9,9.758654
-8.8,12,9.804167
-7.8,11,9.848168
-9.8,5,9.869168
-7.7,11,9.894172
-9.8,5,9.915252
-8.7,14,9.970253
-9.8,9,9.991268
-8.7,6,10.005823
-8.8,11,10.029822
-7.8,14,10.06083
-9.8,6,10.075828
-7.0,12,10.10235
-9.8,13,10.129337
-9.8,7,10.147337
-8.0,7,10.164336
-8.0,8,10.196343
-9.6,13,10.224859
-9.8,8,10.242863
-8.7,12,10.288873
-8.8,12,10.332946
-9.8,8,10.357398
-8.8,16,10.392409
-8.7,8,10.409994
-9.6,14,10.444331
-9.8,7,10.459875
-9.8,9,10.481148
-7.8,14,10.511262
-8.6,12,10.537389
-8.0,11,10.56139
-8.7,6,10.575192
-8.7,9,10.596511
-9.8,6,10.610519
-8.0,12,10.636063
-9.8,7,10.652064
-8.8,16,10.685083
-8.0,12,10.711577
-8.7,7,10.738578
-9.8,10,10.775578
-8.7,13,10.97229
-8.7,7,10.988293
-9.8,12,11.01281
-7.7,10,11.035801
-8.8,11,11.076806
-8.8,10,11.09832
-7.8,19,11.136317
-6.7,15,11.168316
-8.7,15,11.199833
-7.8,14,11.228834
-9.8,8,11.246834
-9.8,4,11.256834
-9.8,6,11.27048
-9.8,12,11.296489
-7.0,14,11.32637
-9.8,6,11.34137
-8.6,14,11.393921
-8.0,8,11.41143
-8.0,7,11.42843
-8.7,7,11.444429
-7.0,14,11.475036
-8.8,13,11.502756
-9.8,12,11.529322
-8.6,14,11.558447
-8.0,15,11.590036
-8.7,7,11.617527
-8.8,16,11.675528
-8.7,13,11.723047
-9.8,6,11.748048
-8.8,16,11.807561
-7.6,16,11.86456
-8.7,6,11.882565
-8.7,6,11.900609
-7.8,14,11.930609
-9.8,9,11.951608
-9.8,15,11.983613
-7.0,13,12.012124
-8.8,16,12.045124
-8.0,13,12.074124
-7.0,14,12.103642
-7.0,16,12.13664
-7.7,14,12.165641
-9.5,5,12.177641
-8.7,6,12.201158
-9.8,5,12.220158
-8.8,13,12.247166
-9.8,17,12.309672
-8.6,10,12.347235
-9.8,13,12.395009
-6.8,14,12.446523
-6.8,12,12.490617
-9.8,5,12.511455
-8.6,13,12.559801
-7.7,13,12.608372
-8.0,6,12.63137
-8.0,16,12.68992
-8.7,14,12.742071
-8.8,14,12.793078
-9.8,8,12.824111
-8.0,7,12.850111
-9.8,9,12.885127
-8.7,15,12.940157
-9.8,5,12.960156
-9.5,12,13.004674
-9.8,14,13.057674
-8.0,16,13.116189
-8.5,14,13.166188
-8.5,16,13.222723
-9.8,14,13.276705
-8.0,9,13.312222
-7.7,13,13.361219
-9.8,13,13.410065
-6.0,15,13.456064
-9.8,8,13.47429
-8.7,12,13.519083
-7.5,17,13.555632
-9.8,12,13.599866
-8.7,16,13.634466
-8.8,8,13.653466
-8.5,16,13.687482
-9.8,14,13.738981
-8.8,15,13.792985
-8.0,7,13.82101
-9.5,8,13.85201
-8.7,15,13.887029
-8.0,7,13.904047
-9.8,13,13.934047
-9.8,11,13.959047
-8.8,14,13.989052
-8.8,13,14.017088
-7.8,15,14.050085
-9.6,9,14.071087
-8.7,7,14.088091
-8.0,12,14.114605
-7.0,15,14.148614
-7.0,9,14.169606
-9.8,10,14.192613
-6.8,14,14.222123
-8.0,12,14.249134
-8.0,14,14.280125
-6.7,14,14.311493
-8.7,11,14.335492
-8.8,17,14.372492
-9.8,14,14.403551
-8.8,9,14.423552
-8.0,16,14.458088
-7.8,15,14.514084
-9.8,13,14.562268
-9.8,7,14.590281
-8.7,18,14.656325
-8.8,17,14.718387
