#{"t_start": 1701185576.1688473, "env_id": null}
r,l,t
-8.0,6,2.199184
-8.6,14,2.226184
-9.0,3,2.23319
0.0,1,2.239189
-8.7,5,2.2497
-8.7,6,2.262701
-9.8,7,2.2767
-8.7,15,2.3067
-9.8,12,2.329705
-9.8,5,2.339703
-7.6,16,2.370217
-9.8,9,2.388216
-8.0,11,2.409221
-9.8,12,2.433223
-7.0,15,2.460733
-9.8,6,2.473732
-7.8,12,2.496732
-8.7,7,2.512732
-8.7,6,2.524732
-8.7,8,2.541245
-8.0,14,2.567253
-8.5,13,2.592253
-9.8,7,2.620253
-8.0,11,2.642374
-7.0,14,2.668367
-8.7,12,2.692367
-9.8,5,2.703368
-8.7,8,2.735915
-8.0,8,2.755425
-9.8,10,2.774793
-8.8,12,2.798794
-9.8,7,2.827364
-8.0,8,2.860456
-8.0,17,2.892456
-8.0,8,2.928659
-9.8,4,2.939667
-8.0,7,2.955769
-8.8,10,2.996336
-9.6,14,3.030908
-8.0,10,3.051419
-7.0,9,3.087153
-8.0,9,3.122728
-8.7,7,3.151244
-8.0,12,3.198243
-8.6,15,3.226244
-8.0,8,3.25876
-9.8,13,3.30876
-7.0,12,3.356276
-7.0,16,3.386275
-9.8,7,3.400275
-8.7,9,3.418276
-8.7,11,3.440281
-8.7,6,3.452792
-8.8,14,3.478792
-8.0,7,3.493792
-9.8,10,3.513792
-8.8,12,3.542312
-8.0,9,3.578321
-8.0,6,3.59132
-8.7,7,3.619321
-9.8,6,3.64384
-9.5,15,3.70184
-8.7,8,3.71784
-9.5,7,3.731845
-9.6,13,3.756205
-8.0,12,3.778792
-9.8,4,3.787791
-8.8,15,3.815792
-8.0,9,3.834358
-8.4,11,3.856872
-9.8,14,3.883084
-9.8,6,3.895085
-9.6,12,3.925148
-8.0,9,3.943237
-8.7,13,3.967236
-9.8,8,3.983392
-9.8,10,4.003578
-8.8,13,4.028583
-8.7,6,4.053161
-8.7,8,4.084715
-8.8,11,4.126715
-8.8,9,4.161233
-8.7,13,4.212233
-8.0,13,4.261746
-8.7,8,4.293746
-9.8,5,4.314745
-7.8,14,4.368259
-9.8,10,4.40726
-7.0,16,4.463773
-9.8,14,4.489774
-8.0,13,4.513774
-8.0,11,4.534779
-8.0,13,4.559289
-8.8,8,4.575289
-9.8,8,4.591289
-9.8,7,4.605289
-8.7,8,4.637293
-9.8,8,4.652807
-7.0,11,4.695807
-7.8,17,4.759891
-9.8,7,4.775897
-8.0,11,4.795898
-9.8,4,4.805341
-8.8,7,4.819341
-8.7,5,4.829347
-9.8,8,4.846431
-9.5,5,4.866147
-7.8,16,4.922708
-9.8,13,4.973006
-9.8,6,4.997102
-9.8,16,5.058155
-8.7,10,5.096156
-9.5,6,5.119922
-9.8,9,5.155428
-9.8,14,5.207992
-9.8,7,5.231999
-8.7,6,5.25551
-8.0,8,5.28651
-9.8,9,5.321509
-9.8,5,5.341514
-8.6,16,5.370643
-9.8,7,5.398643
-8.0,14,5.452158
-8.8,13,5.476219
-8.0,12,5.499232
-8.0,12,5.522235
-8.7,8,5.538247
-9.8,15,5.566283
-9.8,10,5.586283
-9.5,12,5.608282
-9.8,9,5.626282
-8.7,9,5.643798
-7.8,14,5.669798
-9.8,4,5.677799
-7.8,17,5.708798
-8.0,15,5.735802
-9.8,6,5.748314
-8.7,8,5.782755
-7.0,14,5.809327
-8.7,20,5.845138
-9.5,14,5.871698
-9.8,8,5.886699
-8.0,18,5.919699
-6.7,13,5.944207
-9.8,6,5.956207
-8.1,14,5.981997
-9.8,6,5.993996
-8.8,9,6.029223
-9.8,6,6.053653
-8.7,14,6.079652
-8.0,7,6.107209
-9.8,10,6.146272
-9.8,7,6.173278
-9.8,10,6.21227
-8.0,9,6.247787
-9.8,13,6.297787
-8.0,13,6.3473
-9.5,9,6.3823
-8.7,6,6.4063
-8.0,12,6.451601
-9.8,4,6.460601
-7.6,14,6.486599
-9.8,6,6.499609
-9.8,10,6.5186
-9.8,5,6.539604
-8.0,7,6.554116
-9.8,12,6.579129
-7.5,17,6.614115
-8.7,6,6.627116
-8.7,7,6.642122
-9.8,12,6.668634
-8.7,6,6.681634
-9.5,8,6.698635
-8.7,6,6.711634
-8.7,9,6.744731
-8.8,7,6.77173
-9.8,4,6.7883
-8.0,12,6.813312
-8.7,9,6.833232
-9.8,14,6.861744
-9.6,9,6.895308
-9.8,14,6.947694
-8.0,9,6.980693
-9.8,7,6.996074
-8.0,8,7.013072
-9.8,6,7.025634
-8.5,9,7.044734
-9.5,7,7.059734
-6.7,16,7.091748
-9.8,4,7.101294
-7.6,17,7.135299
-8.8,9,7.154744
-8.7,9,7.173256
-9.8,6,7.186256
-6.7,17,7.219803
-9.5,10,7.241807
-9.8,4,7.251319
-9.8,7,7.27832
-8.8,8,7.296319
-7.0,10,7.31632
-9.8,14,7.344835
-9.8,6,7.357835
-9.8,8,7.375835
-9.5,10,7.397835
-8.8,15,7.45135
-7.0,17,7.51235
-8.8,12,7.555865
-9.8,5,7.660161
-9.8,4,7.676164
-7.5,14,7.728162
-9.8,9,7.760678
-9.5,13,7.797678
-9.8,7,7.821395
-8.8,17,7.87964
-8.7,12,7.923201
-9.8,7,7.949713
-9.6,13,7.996526
-9.8,7,8.024081
-8.0,9,8.057316
-9.8,9,8.091316
-7.7,12,8.134904
-9.8,13,8.168009
-8.0,15,8.198009
-8.8,11,8.221016
-9.8,13,8.248545
-7.8,14,8.278544
-9.8,7,8.293546
-8.0,8,8.311544
-9.6,10,8.349063
-8.0,14,8.378061
-9.8,6,8.392061
-8.7,7,8.40706
-8.8,11,8.431065
-9.8,4,8.441065
-9.8,8,8.457576
-9.8,5,8.469578
-9.8,16,8.502577
-8.0,14,8.553094
-9.5,7,8.580093
-8.0,10,8.618092
-8.7,11,8.641098
-6.0,17,8.701607
-9.8,7,8.728487
-9.8,4,8.744493
-8.7,8,8.774016
-8.0,14,8.803008
-9.8,8,8.82058
-8.7,7,8.836591
-7.0,10,8.85811
-9.8,6,8.881857
-8.0,16,8.938444
-9.8,8,8.967633
-8.8,13,9.014983
-8.7,8,9.044553
-7.7,11,9.084635
-9.5,7,9.110635
-8.0,19,9.171289
-8.0,9,9.204288
-8.8,15,9.257092
-8.8,8,9.286091
-7.7,13,9.333093
-9.5,6,9.355601
-8.0,14,9.384604
-6.7,12,9.410607
-9.8,4,9.420604
-8.0,12,9.445681
-8.8,13,9.473678
-9.8,17,9.534683
-8.7,15,9.582701
-9.8,13,9.629703
-7.0,13,9.677221
-8.7,10,9.71422
-7.8,12,9.756733
-9.8,10,9.793733
-6.0,12,9.836736
-8.0,10,9.857523
-8.8,16,9.891127
-7.0,18,9.956146
-9.8,4,9.971709
-8.0,12,10.012708
-7.7,15,10.066292
-8.0,13,10.112559
-7.7,14,10.161706
-8.0,12,10.204465
-8.0,9,10.238067
-9.8,9,10.271577
-8.7,8,10.301578
-7.7,13,10.348092
-9.8,14,10.397099
-9.8,7,10.424093
-9.8,12,10.466606
-9.8,11,10.489606
-8.0,9,10.522607
-8.7,14,10.56573
-6.7,17,10.625731
-7.0,13,10.672246
-7.7,10,10.708247
-8.0,7,10.733251
-9.5,9,10.76576
-8.7,9,10.79976
-9.8,17,10.859571
-8.0,14,10.908806
-8.7,14,10.960456
-7.7,11,10.983456
-9.5,13,11.011149
-8.8,15,11.042713
-8.5,8,11.05966
-9.8,6,11.073661
-8.0,13,11.101233
-7.7,17,11.137226
-8.0,16,11.170735
-6.0,15,11.20131
-8.7,11,11.241316
-9.8,11,11.281634
-9.8,11,11.321183
-9.5,8,11.350693
-8.7,12,11.37669
-7.0,20,11.418693
-8.0,11,11.442697
-8.0,7,11.458208
-8.0,14,11.489209
-9.6,14,11.519207
-9.8,9,11.539212
-8.7,12,11.565723
-9.5,13,11.593722
-8.0,14,11.624721
-8.0,12,11.668237
-9.5,7,11.695237
-8.8,9,11.727236
-8.7,12,11.770751
-8.0,10,11.793751
-9.8,16,11.848267
-8.0,17,11.905988
-9.8,9,11.926571
-9.8,6,11.940576
-8.0,11,11.965095
-8.7,12,11.991085
-8.8,12,12.016633
-9.8,9,12.037637
-9.4,16,12.072072
-8.7,8,12.090071
-8.7,12,12.115681
-8.8,9,12.136286
-9.5,7,12.151797
-7.0,16,12.185802
-9.8,5,12.197796
-8.7,12,12.223808
-7.8,11,12.263434
-7.0,19,12.303434
-7.0,15,12.33544
-8.0,16,12.369948
-7.0,14,12.399948
-8.0,9,12.419948
-7.8,12,12.445952
-7.0,12,12.472464
-9.8,8,12.490466
-9.8,4,12.500468
-8.7,9,12.520464
-9.8,6,12.535468
-9.8,19,12.574981
-9.8,7,12.600978
-9.8,8,12.61983
-7.7,11,12.642833
-9.8,5,12.656347
-8.0,15,12.709347
-8.0,14,12.75986
-8.0,8,12.79186
-8.8,13,12.839865
-8.0,7,12.865376
-9.8,7,12.89138
-9.8,10,12.928941
-8.0,13,12.975736
-8.7,8,13.005737
-6.7,13,13.051953
-9.8,4,13.066515
3.0,14,13.117178
-9.8,9,13.150692
-9.8,5,13.169695
-9.8,6,13.192693
-8.0,11,13.216216
-9.5,8,13.246277
-8.6,12,13.290126
-9.8,5,13.310135
-8.7,7,13.33567
-8.7,13,13.383186
-8.0,8,13.414186
-8.0,12,13.45727
-8.7,15,13.511276
-9.8,15,13.565305
-8.8,12,13.591304
-6.8,12,13.618304
-9.8,13,13.646314
-8.8,12,13.67258
-9.8,10,13.694565
-9.8,6,13.807555
-9.8,15,13.860863
-7.0,14,13.911373
-8.7,13,13.940401
-9.8,16,13.995465
-9.8,11,14.019465
-6.6,14,14.048982
-8.0,14,14.079539
-8.0,18,14.116866
-8.8,7,14.132869
-8.7,9,14.15338
-8.7,8,14.17438
-8.8,13,14.200943
-9.8,6,14.223944
-8.7,7,14.250457
-6.8,11,14.29021
-7.7,14,14.339754
-8.7,13,14.386264
-8.0,13,14.432269
-8.4,13,14.478777
-9.8,17,14.539782
-9.8,16,14.596296
-7.0,17,14.6403
-7.8,13,14.667809
-8.8,16,14.701809
-8.7,12,14.73181
-8.0,18,14.769314
-8.7,6,14.783315
-8.7,9,14.804314
-8.7,14,14.834321
-8.0,6,14.84883
-8.7,5,14.860829
-8.5,14,14.890829
-8.7,13,14.919395
-8.0,12,14.945396
-7.0,23,14.993326
1.2,12,15.020321
-9.8,6,15.035326
-8.7,14,15.065836
-9.8,12,15.091801
-9.8,9,15.112545
-7.8,16,15.145636
-9.8,10,15.169155
-8.0,15,15.200163
-9.8,13,15.228159
-9.8,8,15.247665
-7.0,17,15.283221
-8.7,15,15.316221
-9.8,6,15.329681
-7.7,17,15.365206
-9.6,15,15.398753
-9.8,4,15.409752
-9.8,5,15.421752
-8.0,13,15.449267
-9.8,12,15.493267
-7.0,17,15.554783
-9.8,10,15.590784
-7.8,12,15.633789
-7.8,12,15.660297
-8.6,12,15.703299
-9.3,12,15.746303
-8.7,12,15.789812
-8.0,9,15.822813
-6.0,14,15.853325
-7.0,13,15.881325
