#{"t_start": 1701302866.6907127, "env_id": null}
r,l,t
-10.0,11,6.268491
-690.1,711,7.512003
-435.0,457,8.34903
-304.9,315,10.287617
-38.6,46,10.372242
-61.8,71,10.501754
-59.7,68,10.628047
-19.6,27,10.67911
-24.0,33,10.740624
-23.8,33,10.801117
-7.8,15,10.830671
-56.2,66,10.951695
-24.3,31,11.011325
-42.0,60,11.123436
-46.6,54,11.222949
-52.0,63,11.355972
-29.3,36,11.423977
-25.3,32,11.488484
-0.3,7,11.503484
-24.3,31,11.562999
-43.7,58,11.703763
-6.8,16,11.734843
-24.8,34,11.797408
0.5,10,11.818407
-2.8,12,11.84168
-35.7,44,11.925793
-24.9,37,11.995878
-41.9,52,12.092987
-20.3,27,12.188502
-46.1,55,12.291018
-12.3,19,12.328023
-57.7,72,12.492045
-6.3,13,12.518045
-18.3,25,12.566562
-11.3,18,12.601563
-6.3,13,12.628566
-10.4,20,12.666891
-40.6,48,12.756097
-45.3,52,12.851613
-22.1,34,12.916344
-13.3,22,12.95829
-14.3,21,12.997867
-45.6,60,14.500183
-10.3,17,14.533188
-6.3,13,14.558699
-16.3,23,14.602708
-10.3,17,14.636012
-10.3,17,14.68574
-18.3,25,14.764094
-7.3,14,14.792421
-15.3,22,14.86492
-6.3,13,14.89092
-25.1,39,14.965083
-11.8,21,15.0051
-18.3,25,15.053298
-7.8,17,15.08641
-27.8,37,15.157924
-13.6,21,15.232928
-5.3,12,15.258438
-25.6,33,15.320444
-6.3,13,15.345954
-4.5,11,15.367953
-19.2,29,15.422958
-7.3,14,15.450468
-11.1,20,15.489468
-12.5,19,15.526473
-14.6,22,15.569983
-15.3,22,15.642497
-10.0,19,15.679497
2.5,4,15.695496
-12.3,19,15.732046
-26.3,33,15.794786
-3.8,13,15.821362
-16.5,23,15.864872
-8.3,15,15.894872
-12.5,19,15.932486
-4.5,11,15.954001
-20.6,28,16.030548
-4.5,11,16.053056
-0.5,7,16.078609
-4.3,11,16.101527
-5.6,17,16.135006
-14.3,21,16.175599
-33.6,41,16.251665
0.2,9,16.270665
-19.6,27,16.32167
-14.0,23,16.366179
-14.3,21,16.439253
-8.3,15,16.468254
2.5,6,16.481254
-15.6,23,16.525256
-15.3,22,16.60177
-10.6,18,16.636284
-8.9,17,16.669284
-26.8,36,16.736432
-12.6,20,16.775642
-3.8,13,16.800208
-4.2,12,16.824212
-13.6,21,16.880724
-9.3,16,16.911724
-3.3,10,16.931727
-7.3,14,16.959791
-3.3,10,16.97969
-0.5,7,16.99369
-14.0,23,17.074519
-9.3,16,17.106113
-23.3,30,17.16317
-23.4,35,17.230176
-6.9,15,17.260685
-18.7,27,17.311686
-4.3,11,17.333691
-18.8,28,17.386205
-15.1,24,17.432224
-13.3,20,17.502239
-2.3,9,17.52125
-10.3,17,18.90481
0.5,6,18.918811
-5.3,12,18.942642
-8.3,15,18.972204
-1.3,8,18.988205
-2.3,9,19.006216
-1.5,8,19.023675
-3.6,11,19.046188
-5.8,13,19.07182
-3.9,12,19.095821
-15.2,25,19.143182
-15.8,25,19.191754
-5.3,12,19.235264
-6.3,13,19.263272
-0.3,7,19.277272
-14.6,22,19.319272
-2.8,10,19.339787
-1.5,8,19.355786
-0.3,7,19.382288
-8.3,15,19.411303
-6.5,13,19.437163
1.5,5,19.448163
-6.5,13,19.475163
-11.5,18,19.510162
0.5,6,19.523167
-6.3,13,19.54819
-1.5,8,19.578176
-9.5,16,19.609177
-16.3,23,19.653692
-12.7,21,19.69469
-3.8,13,19.719692
-7.3,14,19.74722
0.1,8,19.764209
-5.3,12,19.788208
-2.5,9,19.806785
-11.3,18,19.8413
-4.8,14,19.869299
-1.3,8,19.886374
-12.6,20,19.924236
-2.3,9,19.942747
-8.6,16,19.997731
0.5,6,20.009729
-10.3,17,20.042938
-1.3,8,20.059939
-10.3,17,20.092616
0.5,6,20.105616
-8.3,15,20.133733
-4.3,11,20.156253
-6.3,13,20.202675
-6.3,13,20.228235
-4.5,11,20.250746
-4.5,11,20.273295
-6.8,14,20.300296
-5.6,13,20.34412
-8.3,15,20.373792
0.7,6,20.386791
-3.3,10,20.406802
-1.3,8,20.436308
-28.7,37,20.506305
-2.3,9,20.524311
-8.5,15,20.553821
-5.5,12,20.577821
-9.3,16,20.608821
-3.3,10,20.628826
-4.3,11,20.651334
-14.3,21,20.722342
-9.3,16,20.753853
-3.5,10,20.790852
-9.9,18,20.825858
-1.3,8,20.842369
-7.0,15,20.871067
-5.3,12,20.895067
-11.8,19,20.931611
-10.3,21,20.97212
-1.3,8,20.989128
-2.3,9,21.00812
-3.3,10,21.028125
-3.3,10,21.049634
-6.7,17,21.083635
-3.3,10,21.104203
-3.5,10,21.124207
-14.8,24,21.170134
-0.3,7,21.185134
-19.3,26,21.235696
-11.8,19,21.273211
-16.3,23,21.317208
-8.6,18,21.351729
-15.3,22,21.393727
1.5,5,21.405722
-1.3,8,21.421726
-13.7,24,21.467237
-15.3,22,21.509237
2.5,4,21.519238
-0.8,10,21.538752
-6.7,15,21.568753
-3.5,10,21.589752
-6.7,15,21.618752
-10.8,20,21.657266
-13.6,21,21.697267
0.7,6,21.710267
-7.3,14,21.73878
-1.0,10,21.758781
-4.3,11,21.784781
-0.1,8,21.800798
-1.6,9,21.81978
-1.5,8,21.837921
-3.3,10,21.858328
-1.3,8,21.874923
-5.5,12,21.918923
2.5,4,21.928451
0.5,6,23.266861
-1.3,8,23.28385
2.5,4,23.292851
-6.3,13,23.317851
1.5,5,23.328856
