#{"t_start": 1701292000.2056463, "env_id": null}
r,l,t
-9.31,8,3.205865
-10.64,10,3.244478
-11.81,12,3.283581
-9.27,8,3.31216
-11.56,10,3.348788
-10.95,4,3.363796
-9.21,8,3.398791
-11.92,13,3.445801
-10.96,13,3.505152
-10.51,9,3.534152
-10.04,5,3.566663
-9.58,11,3.626668
-10.93,12,3.686558
-11.01,13,3.725327
-10.95,13,3.770862
-10.95,4,3.786862
-10.93,12,3.826865
-11.25,7,3.85238
-9.48,10,3.896378
-10.95,4,3.911378
-9.19,7,3.937384
-11.24,7,3.960891
-11.94,13,4.004891
-10.27,6,4.032912
-11.15,6,4.053422
-10.39,8,4.084422
-9.65,11,4.122424
-9.45,9,4.179942
-10.23,6,4.200945
-9.13,7,4.22647
-10.93,13,4.288965
-10.93,12,4.326284
-11.47,9,4.389805
-11.44,9,4.43481
-10.13,7,4.486324
-10.92,12,4.521324
-10.3,7,4.543583
-10.74,11,4.575096
-10.2,6,4.594097
-9.83,6,4.613096
-11.0,13,4.649609
-10.16,9,4.676225
-11.39,8,4.700365
-10.04,5,4.716365
-11.04,5,4.733372
-11.39,8,4.756883
-10.96,12,4.791426
-11.37,8,4.817426
-10.93,12,4.852938
-10.62,10,4.91594
-11.39,8,4.969455
-11.25,7,5.015455
-10.02,6,5.034461
-9.82,13,5.070969
-10.34,8,5.094969
-11.25,7,5.115969
-10.86,12,5.188484
-10.28,7,5.209484
-11.15,6,5.227485
-11.03,5,5.261555
-9.7,12,5.297035
-11.46,9,5.32363
-10.68,11,5.355697
-11.89,13,5.393305
-9.07,6,5.411858
-10.97,12,5.446864
-11.05,5,5.46338
-10.95,4,5.477379
-10.69,10,5.541384
-9.36,9,5.569894
-11.48,9,5.598894
-10.53,9,5.625905
-11.14,6,5.644898
-9.41,9,5.671027
-9.19,7,5.693034
-9.84,13,5.72961
-11.26,7,5.752129
-10.6,10,5.781129
-10.46,8,5.806129
-11.15,6,5.844133
-11.39,8,5.867644
-10.84,12,5.903644
-9.93,7,5.926647
-10.42,8,5.951166
-9.69,12,5.990165
-10.99,13,6.029165
-11.14,6,6.048673
-9.35,9,6.07468
-9.74,5,6.090683
